timer,lineLeft,lineCenter,lineRight,LeftFrontCurrent,LeftFrontVoltage,LeftFrontValue,LeftFrontPosition,LeftFrontVelocity,LeftFrontFaults,LeftRearCurrent,LeftRearVoltage,LeftRearValue,LeftRearPosition,LeftRearVelocity,LeftRearFaults,RightFrontCurrent,RightFrontVoltage,RightFrontValue,RightFrontPosition,RightFrontVelocity,RightFrontFaults,RightRearCurrent,RightRearVoltage,RightRearValue,RightRearPosition,RightRearVelocity,RightRearFaults,LiftCurrent,LiftVoltage,LiftValue,LiftPosition,LiftVelocity,LiftFaults,WristCurrent,WristVoltage,WristValue,WristPosition,WristVelocity,WristFaults,RollerCurrent,RollerVoltage,RollerValue,RollerPosition,RollerVelocity,RollerFaults,PushersState,PivotsState,navx_Pitch,navx_Roll,navx_Yaw,navx_XAcc,navx_YAcc,navx_ZAcc,navx_Temp,navx_Bar,navx_Alt,navx_XDis,navx_YDis,
902.419583,true,true,true,0.125,12.65,0.0,-32731,0,0,0.125,12.65,0.0,0,0,0,0.375,12.6,0.0,3663,0,0,0.25,12.65,0.0,0,0,0,0.125,12.6,0.0,4,0,0,0.0,12.65,0.0,0,0,0,0.125,12.700000000000001,0.0,0,0,0,kReverse,kOff,-87.19,2.08,2.65,0.041015625,-0.9803467,0.032592773,35.16,0.0,5.0,-8.17865,11.76416,
902.4399070000001,true,true,true,0.125,12.65,0.0,-32731,0,0,0.125,12.65,0.0,0,0,0,0.375,12.6,0.0,3663,0,0,0.25,12.65,0.0,0,0,0,0.125,12.6,0.0,4,0,0,0.0,12.6,0.0,0,0,0,0.125,12.700000000000001,0.0,0,0,0,kReverse,kOff,-87.19,2.08,2.65,0.034729004,-0.98272705,0.029907227,35.16,0.0,-1.0,-8.17865,11.76416,
902.462971,true,true,true,0.125,12.65,0.0,-32731,0,0,0.125,12.65,0.0,0,0,0,0.375,12.6,0.0,3663,0,0,0.25,12.65,0.0,0,0,0,0.125,12.6,0.0,4,0,0,0.0,12.6,0.0,0,0,0,0.125,12.700000000000001,0.0,0,0,0,kReverse,kOff,-87.19,2.07,2.64,0.03173828,-0.9859619,0.029785156,35.16,0.0,-4.0,-8.17865,11.76416,
902.483355,true,true,true,0.125,12.65,0.0,-32731,0,0,0.125,12.65,0.0,0,0,0,0.375,12.6,0.0,3663,0,0,0.25,12.65,0.0,0,0,0,0.125,12.6,0.0,4,0,0,0.0,12.6,0.0,0,0,0,0.125,12.700000000000001,0.0,0,0,0,kReverse,kOff,-87.19,2.07,2.64,0.032836914,-0.9835205,0.02935791,35.16,0.0,-3.0,-8.17865,11.76416,
902.502922,true,true,true,0.125,12.65,0.0,-32731,0,0,0.125,12.65,0.0,0,0,0,0.375,12.6,0.0,3663,0,0,0.25,12.65,0.0,0,0,0,0.125,12.6,0.0,4,0,0,0.0,12.6,0.0,0,0,0,0.125,12.700000000000001,0.0,0,0,0,kReverse,kOff,-87.19,2.07,2.64,0.029724121,-0.9805908,0.03363037,35.16,0.0,-5.0,-8.17865,11.76416,
902.523793,true,true,true,0.125,12.65,0.0,-32731,0,0,0.125,12.65,0.0,0,0,0,0.375,12.6,0.0,3663,0,0,0.25,12.65,0.0,0,0,0,0.125,12.6,0.0,4,0,0,0.0,12.6,0.0,0,0,0,0.125,12.700000000000001,0.0,0,0,0,kReverse,kOff,-87.19,2.06,2.64,0.030639648,-0.9840698,0.037597656,35.16,0.0,-3.0,-8.17865,11.76416,
902.543333,true,true,true,0.125,12.65,0.0,-32731,0,0,0.125,12.65,0.0,0,0,0,0.375,12.6,0.0,3663,0,0,0.25,12.65,0.0,0,0,0,0.125,12.6,0.0,4,0,0,0.0,12.6,0.0,0,0,0,0.125,12.700000000000001,0.0,0,0,0,kReverse,kOff,-87.2,2.06,2.64,0.03314209,-0.98516846,0.034423828,35.16,0.0,-1.0,-8.17865,11.76416,
902.564824,true,true,true,0.125,12.65,0.0,-32731,0,0,0.125,12.65,0.0,0,0,0,0.375,12.6,0.0,3663,0,0,0.25,12.6,0.0,0,0,0,0.125,12.65,0.0,4,0,0,0.0,12.6,0.0,0,0,0,0.125,12.700000000000001,0.0,0,0,0,kReverse,kOff,-87.19,2.06,2.64,0.034423828,-0.9868164,0.023376465,35.16,0.0,-3.0,-8.17865,11.76416,
902.5898980000001,true,true,true,0.125,12.65,0.0,-32731,0,0,0.125,12.65,0.0,0,0,0,0.375,12.6,0.0,3663,0,0,0.25,12.6,0.0,0,0,0,0.125,12.65,0.0,4,0,0,0.0,12.6,0.0,0,0,0,0.125,12.700000000000001,0.0,0,0,0,kReverse,kOff,-87.19,2.07,2.65,0.037841797,-0.98565674,0.028137207,35.13,0.0,0.0,-8.17865,11.76416,
902.613385,true,true,true,0.125,12.65,0.0,-32731,0,0,0.125,12.65,0.0,0,0,0,0.375,12.6,0.0,3663,0,0,0.25,12.6,0.0,0,0,0,0.125,12.65,0.0,4,0,0,0.0,12.6,0.0,0,0,0,0.125,12.700000000000001,0.0,0,0,0,kReverse,kOff,-87.19,2.08,2.65,0.03656006,-0.98461914,0.031188965,35.13,0.0,0.0,-8.17865,11.76416,
902.634083,true,true,true,0.125,12.65,0.0,-32731,0,0,0.125,12.65,0.0,0,0,0,0.375,12.6,0.0,3663,0,0,0.25,12.6,0.0,0,0,0,0.125,12.65,0.0,4,0,0,0.0,12.6,0.0,0,0,0,0.125,12.700000000000001,0.0,0,0,0,kReverse,kOff,-87.19,2.08,2.65,0.03289795,-0.97161865,0.028503418,35.13,0.0,-3.0,-8.17865,11.76416,
902.65629,true,true,true,0.125,12.65,0.0,-32731,0,0,0.125,12.65,0.0,0,0,0,0.375,12.6,0.0,3663,0,0,0.25,12.6,0.0,0,0,0,0.125,12.65,0.0,4,0,0,0.0,12.6,0.0,0,0,0,0.125,12.700000000000001,0.0,0,0,0,kReverse,kOff,-87.18,2.09,2.66,0.044921875,-0.98461914,0.03186035,35.13,0.0,8.0,-8.17865,11.76416,
